,URL,Listed By,Bought with
0,https://www.redfin.com/IL/Glencoe/693-Greenwood-Ave-60022/home/13791039,Listed by Mary Rosinski  • Coldwell Banker Realty,Bought with Katie Turner  • Compass
1,https://www.redfin.com/IL/Glencoe/693-Greenwood-Ave-60022/home/13791039,Listed by Mary Rosinski  • Coldwell Banker Realty,Bought with Katie Turner  • Compass
2,https://www.redfin.com/IL/Winnetka/570-Oak-St-60093/home/13787294,Listed by Annika Valdiserri  • @properties Christie's International Real Estate,Bought with Rene Firmin  • @properties Christie's International Real Estate
3,https://www.redfin.com/IL/Wilmette/2128-Chestnut-Ave-60091/home/13784776,Listed by Blanche Romey  • @properties Christie's International Real Estate,Bought with Catherine King  • Compass
4,https://www.redfin.com/IL/Wilmette/1627-Wilmette-Ave-60091/home/13776107,Listed by Katharine Waddell  • Compass,Bought with Aaron Masliansky  • Dream Town Realty
5,https://www.redfin.com/IL/Wilmette/1504-Elmwood-Ave-60091/home/13782516,Listed by Pam MacPherson  • @properties Christie's International Real Estate,Bought with Elizabeth Schwartz  • @properties Christie's International Real Estate
6,https://www.redfin.com/IL/Winnetka/1275-Asbury-Ave-60093/home/13787869,Listed by Gabrielle Root  • Baird & Warner,Bought with Julie Bird  • Compass
7,https://www.redfin.com/IL/Wilmette/401-10th-St-60091/home/13774999,Listed by Katie Hauser  • Compass,Bought with Janice Hazlett  • @properties Christie's International Real Estate
8,https://www.redfin.com/IL/Winnetka/1153-Asbury-Ave-60093/home/13789438,Listed by Margaret Goss  • @properties Christie's International Real Estate,Bought with Monica Sofranko  • @properties Christie's International Real Estate
9,https://www.redfin.com/IL/Winnetka/1046-Westmoor-Rd-60093/home/13790460,Listed by Annie Flanagan  • @properties Christie's International Real Estate,Bought with Robert White  • @properties Christie's International Real Estate
10,https://www.redfin.com/IL/Glencoe/514-Woodlawn-Ave-60022/home/13788599,,
11,https://www.redfin.com/IL/Wilmette/1229-Washington-Ave-60091/home/13773754,Listed by Craig Isacson  • @properties Christie's International Real Estate,Bought with Mariah Dell  • Compass
12,https://www.redfin.com/IL/Winnetka/425-Walnut-St-60093/home/13785413,Listed by Katie Hauser  • Compass,Bought with Katherine Harris  • Compass
13,https://www.redfin.com/IL/Wilmette/2112-Elmwood-Ave-60091/home/13782002,,
14,https://www.redfin.com/IL/Glencoe/194-Lake-St-60022/home/13788595,Listed by Richard Richker  • @properties Christie's International Real Estate,Bought with Alyson Tesar  • Compass
15,https://www.redfin.com/IL/Kenilworth/555-Park-Dr-60043/home/13783421,Listed by Gayle Dunn  • @properties Christie's International Real Estate,Bought with Megan Jordan  • @properties Christie's International Real Estate
16,https://www.redfin.com/IL/Glencoe/561-Sunset-Ln-60022/home/13820911,Listed by Gloria Matlin  • Compass,Bought with Marlene Rubenstein  • Baird & Warner
17,https://www.redfin.com/IL/Glencoe/565-Westwood-Ln-60022/home/13821257,Listed by Laurie Tuchman  • Compass,Bought with Mary Haight Himes  • Compass
18,https://www.redfin.com/IL/Winnetka/561-Elder-Ln-60093/home/13785773,Listed by Danielle Wylie  • Baird & Warner,Bought with Karen Stroble  • Jameson Sotheby's International Realty
19,https://www.redfin.com/IL/Winnetka/583-Sunset-Rd-60093/home/13785234,Listed by Kate Pham  • @properties Christie's International Real Estate,Bought with Leslie Maguire  • @properties Christie's International Real Estate
20,https://www.redfin.com/IL/Winnetka/569-Sunset-Rd-60093/home/13785068,Listed by Glenn Pankau  • Baird & Warner,Bought with Aditya Malhotra  • Jameson Sotheby's Int'l Realty
21,https://www.redfin.com/IL/Wilmette/1224-Washington-Ave-60091/home/13774034,Listed by Jenifer McCartney  • Jameson Sotheby's International Realty,Bought with Ted Nash  • Jameson Sotheby's International Realty
22,https://www.redfin.com/IL/Winnetka/256-Woodlawn-Ave-60093/home/13790020,Listed by Danielle Wylie  • Baird & Warner,Bought with DiAnn Hillesland  • @properties Christie's International Real Estate
23,https://www.redfin.com/IL/Winnetka/239-Ridge-Ave-60093/home/13786314,Listed by Lauer Baby  • @properties Christie's International Real Estate,Bought with Monica Corbett  • Compass
24,https://www.redfin.com/IL/Wilmette/1006-Linden-Ave-60091/home/13773347,Listed by Lori Neuschel  • @properties Christie's International Real Estate,Bought with Lori Neuschel  • @properties Christie's International Real Estate
25,https://www.redfin.com/IL/Wilmette/805-Greenleaf-Ave-60091/home/13774927,Listed by Frank Capitanini  • Coldwell Banker Realty,Bought with Gloria Matlin  • Compass
26,https://www.redfin.com/IL/Wilmette/2108-Kenilworth-Ave-60091/home/13784199,Listed by Laura McCain  • Compass,Bought with David Chung  • Compass
27,https://www.redfin.com/IL/Glencoe/475-Hazel-Ave-60022/home/13790803,Listed by Suzy Thompson  • Jean Wright Real Estate,Bought with Sharon Glickman  • Baird & Warner
28,https://www.redfin.com/IL/Glencoe/501-Washington-Ave-60022/home/12554467,Listed by Deborah Richwine  • @properties Christie's International Real Estate,Bought with Susan Maman  • @properties Christie's International Real Estate
29,https://www.redfin.com/IL/Kenilworth/619-Roger-Ave-60043/home/13783226,Listed by Laura Fitzpatrick  • @properties Christie's International Real Estate,Bought with Mary Grant  • @properties Christie's International Real Estate
30,https://www.redfin.com/IL/Wilmette/819-15th-St-60091/home/13775225,Listed by Sheila O'Halloran Bower  • Baird & Warner,Bought with Michael Vrielink  • Chicago Real Estate Artists LLC
31,https://www.redfin.com/IL/Wilmette/2015-Greenwood-Ave-60091/home/13782738,Listed by Yvonne Sito  • @properties Christie's International Real Estate,Bought with Laurie Baker Lawlor  • @properties Christie's International Real Estate
32,https://www.redfin.com/IL/Kenilworth/557-Melrose-Ave-60043/home/13783991,Listed by Katherine Harris  • Compass,Bought with Courtney Cook  • @properties Christie's International Real Estate
33,https://www.redfin.com/IL/Wilmette/1535-Greenwood-Ave-60091/home/13781968,Listed by Aaron Masliansky  • Jameson Sotheby's International Realty,Bought with Todd Martin  • @properties Christie's International Real Estate
34,https://www.redfin.com/IL/Wilmette/927-Harvard-Ln-60091/home/13782328,Listed by Michael Thomas  • @properties Christie's International Real Estate,Bought with Annika Valdiserri  • @properties Christie's International Real Estate
35,https://www.redfin.com/IL/Glencoe/1065-Skokie-Ridge-Dr-60022/home/13821054,Listed by Megan Mawicke Bradley  • @properties Christie's International Real Estate,Bought with Carol Gooze  • @properties Christie's International Real Estate
36,https://www.redfin.com/IL/Wilmette/935-Harvard-Ln-60091/home/13781553,Listed by Linda Martin  • Coldwell Banker Realty,Bought with Dawn Larsen  • Baird & Warner
37,https://www.redfin.com/IL/Wilmette/2120-Beechwood-Ave-60091/home/13784204,Listed by Margie Brooks  • Baird & Warner,Bought with Ted Pickus  • @properties Christie's International Real Estate
38,https://www.redfin.com/IL/Winnetka/388-Elder-Ln-60093/home/13785546,Listed by Eileen Campbell  • Berkshire Hathaway HomeServices Chicago,Bought with Christina Fawcett  • @properties Christie's International Real Estate
39,https://www.redfin.com/IL/Wilmette/234-Central-Park-Ave-60091/home/13776103,Listed by Barbara Shields  • @properties Christie's International Real Estate,Bought with Barbara Shields  • @properties Christie's International Real Estate
40,https://www.redfin.com/IL/Wilmette/1619-Greenwood-Ave-60091/home/13782949,Listed by Katie Hauser  • Compass,Bought with Michael Hoover  • Compass
41,https://www.redfin.com/IL/Wilmette/2009-Thornwood-Ave-60091/home/13781906,Listed by Mary Grant  • @properties Christie's International Real Estate,Bought with Jackie Thom  • Engel & Voelkers Chicago North Shore
42,https://www.redfin.com/IL/Winnetka/995-Pine-St-60093/home/13790436,Listed by Carrie McCormick  • @properties Christie's International Real Estate,Bought with Benjamin Lissner  • Baird & Warner
43,https://www.redfin.com/IL/Kenilworth/700-Park-Dr-60043/home/13783111,Listed by David Chung  • Compass,Bought with Colleen Archer Daugherty  • @properties Christie's International Real Estate
44,https://www.redfin.com/IL/Kenilworth/608-Earlston-Rd-60043/home/13782697,Listed by Linda Martin  • Coldwell Banker Realty,Bought with Antoinette Vigilante  • Perennial Properties
45,https://www.redfin.com/IL/Kenilworth/704-Roger-Ave-60043/home/13783635,Listed by Peter Cummins  • @properties Christie's International Real Estate,Bought with Chris Smith  • Baird & Warner
46,https://www.redfin.com/IL/Wilmette/1917-Birchwood-Ave-60091/home/13777476,Listed by Jackie Mack  • Jameson Sotheby's International Realty,Bought with Melissa Siegal  • @properties Christie's International Real Estate
47,https://www.redfin.com/IL/Winnetka/402-Hawthorn-Ln-60093/home/13785045,Listed by David Chung  • Compass,Bought with Katie Hauser  • Compass
48,https://www.redfin.com/IL/Winnetka/742-Pine-St-60093/home/13788392,Listed by Meg Sudekum  • Baird & Warner,Bought with Grace Flatt  • @properties Christie's International Real Estate
49,https://www.redfin.com/IL/Glencoe/535-Dundee-Rd-60022/unit-HSE/home/13819712,Listed by Alicja Skibicki  • Baird & Warner,Bought with Debbie Scully  • @properties Christie's International Real Estate
50,https://www.redfin.com/IL/Kenilworth/411-Ridge-Rd-60043/home/13784164,Listed by Joanne Hudson  • Compass,Bought with Tamara Kasey  • Compass
51,https://www.redfin.com/IL/Winnetka/72-Warwick-Rd-60093/home/13783934,Listed by Kathryn Mangel  • @properties Christie's International Real Estate,Bought with Laura Fitzpatrick  • @properties Christie's International Real Estate
52,https://www.redfin.com/IL/Wilmette/212-Wood-Ct-60091/home/13773653,Listed by Lori Neuschel  • @properties Christie's International Real Estate,Bought with Katharine Zeller Hansen  • Coldwell Banker Realty
53,https://www.redfin.com/IL/Wilmette/245-Wood-Ct-60091/home/13773265,"Listed by Julian Taylor  • Goldtree Realty, Inc",Bought with Colin Gubbins  • Berkshire Hathaway HomeServices Chicago
54,https://www.redfin.com/IL/Glencoe/491-Monroe-Ave-60022/home/13791075,Listed by Rene Firmin  • @properties Christie's International Real Estate,Bought with Non Member  • NON MEMBER
55,https://www.redfin.com/IL/Wilmette/1217-Lake-Ave-60091/home/13774033,Listed by Laura Fitzpatrick  • @properties Christie's International Real Estate,Bought with Beth Wexler  • @properties Christie's International Real Estate
56,https://www.redfin.com/IL/Winnetka/475-Poplar-St-60093/home/13786687,Listed by Joanne Hudson  • Compass,Bought with Paige Dooley  • Compass
57,https://www.redfin.com/IL/Wilmette/1330-Gregory-Ave-60091/home/13774265,Listed by Lynn Briskin  • @properties Christie's International Real Estate,Bought with Frank Capitanini  • Coldwell Banker Realty
58,https://www.redfin.com/IL/Glencoe/1049-Old-Elm-Ln-60022/home/13791322,Listed by Catherine Dunlop  • @properties Christie's International Real Estate,Bought with Elizabeth Smith  • @properties Christie's International Real Estate
59,https://www.redfin.com/IL/Wilmette/1914-Elmwood-Ave-60091/home/13782335,Listed by Kate Huff  • @properties Christie's International Real Estate,Bought with Katharine Hackett  • @properties Christie's International Real Estate
60,https://www.redfin.com/IL/Winnetka/200-Green-Bay-Rd-60093/home/13784879,Listed by Spencer Terry  • Coldwell Banker Realty,Bought with David Zwarycz  • Berkshire Hathaway HomeServices Chicago
61,https://www.redfin.com/IL/Wilmette/1011-Knoll-Ln-60091/home/13781883,Listed by Kathryn Mangel  • @properties Christie's International Real Estate,Bought with Elizabeth Licata  • Compass
62,https://www.redfin.com/IL/Winnetka/1249-Scott-Ave-60093/home/12584512,Listed by Annika Valdiserri  • @properties Christie's International Real Estate,Bought with Patricia Skirving  • Compass
63,https://www.redfin.com/IL/Winnetka/654-Cherry-St-60093/home/13786686,Listed by Virginia Trux  • @properties Christie's International Real Estate,Bought with James LaCassa  • Kale Realty
64,https://www.redfin.com/IL/Wilmette/1812-Wilmette-Ave-60091/home/13775564,Listed by Annika Valdiserri  • @properties Christie's International Real Estate,Bought with Katie Cassman  • Compass
65,https://www.redfin.com/IL/Kenilworth/703-Brier-St-60043/home/13783834,Listed by Laura Fitzpatrick  • @properties Christie's International Real Estate,Bought with Juliana Yeager  • @properties Christie's International Real Estate
66,https://www.redfin.com/IL/Wilmette/1228-Washington-Ave-60091/home/13774940,Listed by Megan Mawicke Bradley  • @properties Christie's International Real Estate,Bought with Brandy Isaac  • Compass
67,https://www.redfin.com/IL/Winnetka/550-Meadow-Rd-60093/home/13784371,Listed by Michael Saladino  • Keller Williams ONEChicago,Bought with Benyamin Lalez  • Compass
68,https://www.redfin.com/IL/Kenilworth/614-Melrose-Ave-60043/home/13783889,Listed by Kathryn Mangel  • @properties Christie's International Real Estate,Bought with Megan Mawicke Bradley  • @properties Christie's International Real Estate
69,https://www.redfin.com/IL/Wilmette/1027-Forest-Ave-60091/home/13783267,Listed by Todd Trawinski  • Berkshire Hathaway HomeServices Chicago,Bought with Stephanie Mitchell  • Baird & Warner
70,https://www.redfin.com/IL/Wilmette/711-Park-Ave-60091/home/13774761,Listed by Eileen Collins  • Compass,Bought with Leslie Glazier  • @properties Christie's International Real Estate
71,https://www.redfin.com/IL/Wilmette/901-Gregory-Ave-60091/home/13772001,Listed by Katie Hauser  • Compass,Bought with Cricket King  • @properties Christie's International Real Estate
72,https://www.redfin.com/IL/Winnetka/260-Woodlawn-Ave-60093/home/13789518,Listed by Gloria Matlin  • Compass,"Bought with Yana Vodovoz  • Bluebird Realty, Inc."
73,https://www.redfin.com/IL/Kenilworth/643-Kenilworth-Ter-60043/home/13783927,"Listed by Robert Picciariello  • Prello Realty, Inc",Bought with Julie Mangan  • @properties Christie's International Real Estate
74,https://www.redfin.com/IL/Glencoe/240-Randolph-St-60022/home/13787882,Listed by Carrie Tarzon  • @properties Christie's International Real Estate,Bought with Leslie Maguire  • @properties Christie's International Real Estate
75,https://www.redfin.com/IL/Wilmette/1326-Washington-Ave-60091/home/13775957,Listed by Janice Hazlett  • @properties Christie's International Real Estate,Bought with Lance Kirshner  • Compass
76,https://www.redfin.com/IL/Wilmette/526-8th-St-60091/home/13773398,Listed by Cricket King  • @properties Christie's International Real Estate,Bought with Elizabeth Licata  • Compass
77,https://www.redfin.com/IL/Winnetka/879-Cherry-St-60093/home/13786844,Listed by Kelly Lundin  • The Hudson Company,Bought with Brandie Malay  • @properties Christie's International Real Estate
78,https://www.redfin.com/IL/Winnetka/889-Willow-Rd-60093/home/13787154,Listed by Polly Richardson  • Berkshire Hathaway HomeServices Chicago,Bought with Ryan Pavey  • Baird & Warner
79,https://www.redfin.com/IL/Winnetka/827-Cherry-St-60093/home/13786178,Listed by Natasha Taylor Miller  • @properties Christie's International Real Estate,Bought with Stephanie Cutter  • Coldwell Banker Realty
80,https://www.redfin.com/IL/Winnetka/800-Willow-Rd-60093/home/26827063,Listed by Susan Salisbury  • Berkshire Hathaway HomeServices Chicago,Bought with Non Member  • NON MEMBER
81,https://www.redfin.com/IL/Wilmette/323-14th-St-60091/home/13775473,Listed by Colleen Archer Daugherty  • @properties Christie's International Real Estate,Bought with James Buczynski  • Compass
82,https://www.redfin.com/IL/Winnetka/152-Bertling-Ln-60093/home/13786351,Listed by Joanne Hudson  • Compass,Bought with Lauren Mitrick Wood  • Compass
83,https://www.redfin.com/IL/Wilmette/1424-Maple-Ave-60091/home/13775696,Listed by Lori Neuschel  • @properties Christie's International Real Estate,Bought with Jon Gerstein  • @properties Christie's International Real Estate
84,https://www.redfin.com/IL/Winnetka/1264-Forest-Glen-Dr-N-60093/home/13789706,Listed by Paige Dooley  • Compass,Bought with Eileen Brennan  • Baird & Warner
85,https://www.redfin.com/IL/Winnetka/1417-Tower-Rd-60093/home/13789335,Listed by Jane Lee  • RE/MAX Top Performers,Bought with Ted Kuhlmann  • Compass
86,https://www.redfin.com/IL/Glencoe/980-Green-Bay-Rd-60022/home/177707138,Listed by Susan Maman  • @properties Christie's International Real Estate,Bought with Lance Kirshner  • Compass
87,https://www.redfin.com/IL/Wilmette/2204-Iroquois-Rd-60091/home/13782230,Listed by Debra Kruger  • Coldwell Banker Realty,Bought with Heidi Ziomek  • Dream Town Realty
88,https://www.redfin.com/IL/Winnetka/879-Oak-St-60093/home/13786183,Listed by Frank Nash  • Baird & Warner,Bought with Christine Paloian Fixler  • Jameson Sotheby's Int'l Realty
89,https://www.redfin.com/IL/Glencoe/535-Dundee-Rd-60022/home/179890488,Listed by Laura Bibbo Katlin  • @properties Christie's International Real Estate,Bought with Joanne Hudson  • Compass
90,https://www.redfin.com/IL/Glencoe/394-Jefferson-Ave-60022/home/13792033,Listed by Carol Munro  • Jameson Sotheby's International Realty,Bought with Chih-Hao Yang  • Fulton Grace Realty
91,https://www.redfin.com/IL/Glencoe/448-Oakdale-Ave-60022/home/13788236,Listed by Wendy Berg  • Baird & Warner,Bought with Alan Berlow  • Coldwell Banker Realty
92,https://www.redfin.com/IL/Glencoe/1079-Old-Elm-Ln-60022/home/13793131,"Listed by Matthew Arminio  • 247 Brokers, LLC",Bought with Sarah Lyons  • Compass
93,https://www.redfin.com/IL/Wilmette/1630-Elmwood-Ave-60091/home/13781541,Listed by Vicki Nelson  • Coldwell Banker Realty,Bought with Kelly Dunn Rynes  • Berkshire Hathaway HomeServices Chicago
94,https://www.redfin.com/IL/Wilmette/818-Prairie-Ave-60091/home/13775400,Listed by Gary Kromelow  • Myles Realty Company,Bought with Non Member  • NON MEMBER
95,https://www.redfin.com/IL/Glencoe/414-Randolph-St-60022/home/12584779,Listed by Amy Larsen  • Engel & Voelkers Chicago North Shore,Bought with Karen Mason  • @properties Christie's International Real Estate
96,https://www.redfin.com/IL/Winnetka/1014-Ash-St-60093/home/13786869,Listed by Maria Welch  • Perennial Properties,Bought with Frank Capitanini  • Coldwell Banker Realty
97,https://www.redfin.com/IL/Winnetka/232-Sheridan-Rd-60093/home/13784832,Listed by Anne Malone  • Engel & Voelkers Chicago North Shore,Bought with Kathryn Mangel  • @properties Christie's International Real Estate
98,https://www.redfin.com/IL/Wilmette/2100-Elmwood-Ave-60091/home/13782091,Listed by Charles Drehmer  • Charles Drehmer,Bought with Michael Stern  • Coldwell Banker Realty
99,https://www.redfin.com/IL/Winnetka/1368-Scott-Ave-60093/home/13788986,Listed by Laura McCain  • Compass,Bought with Alan Meyerowitz  • @properties Christie's International Real Estate
100,https://www.redfin.com/IL/Winnetka/653-Hill-Rd-60093/home/13786362,Listed by Joanne Hudson  • Compass,Bought with Paige Dooley  • Compass
101,https://www.redfin.com/IL/Winnetka/941-Tower-Rd-60093/home/13789550,Listed by Joanne Hudson  • Compass,Bought with Ron Wexler  • Keller Williams Preferred Rlty
102,https://www.redfin.com/IL/Glencoe/575-Drexel-Ave-60022/home/13788238,Listed by Marlene Rubenstein  • Baird & Warner,Bought with Geoff Brown  • Baird & Warner
